memory,keyword
I put my keys in the fridge,item location
I have already fed my dog,completed acheivement
respond to an important email,respond
I need to email someone,respond
I need to Whatsapp person,respond
I need to contact someone,respond
call mum on her birthday,call
call dad later,call
check email,check email
check Whatsapp,check email
check messages,check email
check for important emails,check emails
pick milk up on my way home,buy item
purchase item from shop,buy item
lock front door before leaving,lock before leaving
turn stove off after leaving,turn off
pay my bills before it's too late,pay bills
take out trash,rubbish out
take out rubbish,rubbish out
set reminder for meeting,set 
charge phone before leaving,charge phone
drink water,water
I need to drink water,water
drink more water,water
stay hydrated throughout the day,water
I need to take breaks,break
Take bags when I go shopping,bags shopping
I need to refill prescription before it runs out,prescription
check all windows are closed before leaving,close windows
I need to return item,return item
check if I have my keys,check keys
I need to turn off all electronics,turn off
Need to bring my wallet with me,check wallet
I need to attend to my pets before leaving,attend to pets
I need to attend to my dog before leaving,attend to pets
I need to feed dog,attend to pets
I need to feed cat,attend to pets
I need to brush dog,attend to pets